caseid,market,region,timezone,state,division,qs1,qs2,qs3,q1,q2,q3,q4,q5,q6,q6a_1,q6b_a,q6b_b,q6b_c,q6b_d,q6b_e,q6b_f,q6b_g,q6b_h,q6b_i,q6b_j,q6c_a,q6c_b,q6c_c,q6c_d,q7,q801,q901,q1001,q11,q12,q13,q14a,q14b,q14c,q14d,q15a,q15b,q16,q17,q18,q19,q20,q21,q22,q23a,q23b,q23c,q24a,q24b,q24c,q24d,q25a,q25b,q25c,q25d,q26,q27,q28,q29,q3001,q31,q32a,q32b,q32c,q32d,q32e,q33,q34,q3501,q36,q3701,q38,q39,q40,q41,q4201,q43,q44a,q44b,q44c,q44d,q45,q46,q47,q48,q49,q50,q51,q52,q53,q54,bmi,q55,q56a,q56b,q56c,q56d,q56e,q56f,q56g,q56h,q5701,q58,q59,q60a01,d101,d2,d3
1,mid_2,Mid West,C,MO,4,1,Female,Married,6:00 AM – 6:14 AM,10:30 PM – 10:44 PM,8,6:00 AM – 6:14 AM,10:30 PM – 10:44 PM,8,A few nights a week, Never,Every night or almost every night, Never, Never,Every night or almost every night,Rarely, Never,Every night or almost every night, Never,Every night or almost every night,No,No,Yes,No,10 up to 15 minutes,With your significant other,With your significant other,Self-treat it,No,None, ,A few nights a week,Rarely,Rarely,Rarely, Never,A few nights a week, ,No, , , ,Never,No impact,No,No,No,No,No,No,No,No,No,No,No,None,No problems,Every night or almost every night,No,11,Not at all difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Wake up on own,8,None of the above,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Completely agree,Mostly agree,Completely disagree,Mostly agree,Morning person,04,00,Never,No, ,No, ,64,139,23.924560546875,Not at all,No,Yes,No,No,No,No,No,No,Retired, , , ,1,067,Rural
2,ne_2,Northeast,E,PA,2,1,Female,Divorced,5:45 AM – 5:59 AM,10:00 PM – 10:14 PM,7,6:30 AM – 6:44 AM,11:00 PM – 11:14 PM,8,A few nights a week, Never,Every night or almost every night,A few nights a month, Never,A few nights a month, Never, Never,Every night or almost every night, Never,A few nights a week,No,No,Yes,No,45 minutes up to 1 hour,With your children,Alone,Talk to your doctor,Yes,None, ,A few nights a week,A few nights a week,A few nights a month,A few nights a week, Never,Rarely, ,Yes,As loud as talking,Every night or almost every night,Yes,Never, , , , , , , , , , , , , , ,A few nights a month,Yes,The need to go to the bathroom,Somewhat difficult, Never,Every night or almost every night,Rarely, Never, Never,1 to 2 nights a week,1 to 2 nights a week,Children,6,You needed to take care of others,None,6 to 10 days,1 to 2 days,No,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly agree,Completely agree,Mostly agree,Mostly agree,Evening person,03,00,1 to 2 times a month,Yes,Never,No, ,62,165,30.2614464099896,Not at all,No,Yes,No,No,Yes,No,No,No,Working full-time,Regular day shifts,045,3,1,050,Suburban
3,south_1,South,E,FL,5,1,Male,Divorced,12:00 PM (Noon) – 5:59 PM,2:00 AM – 5:00 AM,7,12:00 PM (Noon) – 5:59 PM,2:00 AM – 5:00 AM,9,Every night or almost every night, Never,Every night or almost every night,Every night or almost every night,Every night or almost every night,Every night or almost every night,Rarely, Never, Never, Never,A few nights a month,No,No,No,No,30 up to 45 minutes,Alone,Alone,Use an over-the-counter sleep aid,Yes,4 or 5 times,45 minutes to less than 1 hour,Every night or almost every night,Every night or almost every night,Rarely,A few nights a month,Every night or almost every night,A few nights a week,About the same,Yes,Slightly louder than breathing,1 to 2 nights a week,No,Never, , , , , , , , , , , , , , ,A few nights a week,Yes,12,Not at all difficult,Every night or almost every night, Never, Never, Never, Never,3 to 4 nights a week,3 to 4 nights a week,Alarm clock,6,You are never late or tardy?,1 to 2 days,None,1 to 2 days,No,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Evening person,09,00,Less than once a month,No, ,Yes,Less often or never?,69,145,21.471329552615,Every day,No,No,No,No,No,Yes,No,No,Working full-time,Regular evening shifts,040,6,1,030,Urban
4,west_1,West,M,UT,8,1,Female,Married,7:30 AM – 7:44 AM,10:30 PM – 10:44 PM,9,8:00 AM – 8:14 AM,11:00 PM – 11:14 PM,8,A few nights a week, Never,Every night or almost every night, Never,A few nights a month, Never,A few nights a week, Never,A few nights a month, Never,A few nights a month,Yes,No,Yes,Yes,30 up to 45 minutes,With your significant other,With your significant other,Talk to your doctor,No,4 or 5 times,1 hour or more?,A few nights a month,Every night or almost every night, Never,A few nights a week, Never,A few nights a week, ,Yes,Slightly louder than breathing,1 to 2 nights a month?,Yes,Never,No impact,No,No,No,No,No,No,Yes,No,No,No,Yes,030,No problems,A few nights a month,No,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never,Rarely,1 to 2 nights a month?,1 to 2 nights a week,Children,10,You went to bed too late,None,None,None,Yes,Or does it have no impact on your sleep?,Not really concerned,Completely agree,Mostly agree,Don't Know,Mostly agree,Morning person,01,00,Never,No, ,No, ,67,130,20.416573847182,Not at all,No,No,No,No,No,No,No,No,A homemaker, , , ,1,025,Suburban
5,west_2,West,M,UT,8,1,Male,Married,5:45 AM – 5:59 AM,10:00 PM – 10:14 PM,7,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,8,Rarely, Never,A few nights a week,A few nights a week, Never,Every night or almost every night,A few nights a month,A few nights a month,Rarely, Never, Never,No,No,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Talk to your doctor,No,2 or 3 times,45 minutes to less than 1 hour, Never,Rarely, Never,A few nights a month, Never,Every night or almost every night, ,Yes,Slightly louder than breathing,Every night or almost every night,Yes,Never, ,No,No,No,No,No,No,No,Yes,No,No,No,None,No problems,A few nights a week,No,Someone else,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,Every night or almost every night,Alarm clock,7,None of the above,None,None,1 to 2 days,No,Or does it have no impact on your sleep?,Very concerned,Completely agree,Completely agree,Completely disagree,Mostly agree,Morning person,00,00,Never,No, ,Yes,Less often or never?,76,235,28.6833448753463,Not at all,No,No,No,No,No,No,No,No,Working full-time,Rotating shifts,060,1,1,Refused,Refused
6,west_3,West,M,MT,8,1,Female,Widowed,12:01 AM - 4:59 AM,8:00 PM – 8:59 PM,7.5,5:00 AM – 5:14 AM,9:00 PM – 9:14 PM,8,Rarely, Never,Every night or almost every night, Never, Never,A few nights a week, Never, Never,A few nights a month, Never,Rarely,Yes,No,Yes,Yes,30 up to 45 minutes,Alone,Alone,Use an over-the-counter sleep aid,Yes,2 or 3 times,15 to less than 30 minutes,A few nights a month,A few nights a month,A few nights a month,A few nights a month, Never,A few nights a month, ,Don't Know, , , ,Don't Know,Severe impact, , , , , , , , , , , , , ,A few nights a month,No,The need to go to the bathroom,Somewhat difficult, Never,Rarely, Never, Never,A few nights a week,1 to 2 nights a month?,1 to 2 nights a week,Alarm clock,8,You were too sleepy when you woke up,None,None,None,Refused,Makes it difficult for you to fall asleep,Very concerned,Mostly agree,Completely agree,Don't Know,Completely agree,Morning person,04,00,1 to 2 times a week,No, ,No, ,66,120,19.4214876033058,Not at all,No,No,No,No,Yes,No,No,No,Working full-time,Regular day shifts,040,6,1,063,Rural
7,mid_3,Mid West,C,MN,4,1,Female,Single,12:00 PM (Noon) – 5:59 PM,2:00 AM – 5:00 AM,6,12:00 PM (Noon) – 5:59 PM,2:00 AM – 5:00 AM,10,Never, Never,Rarely,Every night or almost every night, Never,A few nights a week,Every night or almost every night, Never,Every night or almost every night,Rarely,Rarely,No,No,Yes,Yes,30 up to 45 minutes,Alone,With your significant other,Use an over-the-counter sleep aid,No,None, ,A few nights a week, Never, Never,A few nights a week, Never,Every night or almost every night, ,No, , , ,Never, , , , , , , , , , , , , , ,A few nights a month,Yes,Noise,Very difficult,A few nights a month, Never,Rarely, Never, Never,1 to 2 nights a week,1 to 2 nights a month?,16,6,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Mostly agree,Mostly agree,Completely agree,Evening person,20,00,1 to 2 times a month,No, ,No, ,68,123,18.7532439446367,Every day,No,No,No,No,No,No,No,No,Working more than one job,Regular night shifts,040,6,1,018,Suburban
8,south_2,South,C,AL,6,1,Male,Single,7:00 AM – 7:14 AM,2:00 AM – 5:00 AM,5,10:00 AM – 10:59 AM,1:00 AM – 1:59 AM,6, , , , , , , , , , , , , , , ,1 hour or more?,Alone,Alone,10,No,2 or 3 times,45 minutes to less than 1 hour,Every night or almost every night,Every night or almost every night,Don't Know,Every night or almost every night,Every night or almost every night,Don't Know,Better at night,Yes,As loud as talking,Every night or almost every night,Yes,Never,Severe impact, , , , , , , , , , , , , ,A few nights a month,No,Someone else,Somewhat difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Wake up on own,4,You needed to take care of others,None,None,None,Yes,Or does it have no impact on your sleep?,Not really concerned,Mostly disagree,Completely agree,Mostly agree,Mostly agree,Morning person,02,00,1 to 2 times a week,No, ,Yes,1 to 2 days a week,67,185,29.0543550902205,Every day,No,Yes,Yes,No,No,No,No,No,Working full-time,Regular evening shifts,080,8,2,037,Urban
9,south_3,South,E,FL,5,1,Male,Widowed,5:45 AM – 5:59 AM,9:30 PM – 9:44 PM,6,5:45 AM – 5:59 AM,9:30 PM – 9:44 PM,6,Rarely, Never,Rarely,Rarely,Every night or almost every night,A few nights a week, Never, Never, Never, Never, Never,Yes,No,Yes,Yes,10 up to 15 minutes,Alone,Alone,Use an over-the-counter sleep aid,Maybe,4 or 5 times,30 to less than 45 minutes,Rarely,Every night or almost every night,A few nights a week,Rarely,Rarely,A few nights a month,About the same,Don't Know, , , ,Never, , , , , , , , , , , , , , ,A few nights a week,No,The need to go to the bathroom,Refused,Rarely, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,6,You are never late or tardy?,None,None,None,No intimate or sexual relationship,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Mostly agree,Completely disagree,Mostly disagree,Morning person,05,14,Never,No, ,No, ,69,151,22.3597983616887,Not at all,Yes,Yes,No,No,No,No,No,No,Retired, , , ,1,083,Suburban
10,south_2,South,E,NC,5,1,Male,Married,6:30 AM – 6:44 AM,11:30 PM – 11:44 PM,7,8:00 AM – 8:14 AM,12:01 AM – 12:59 AM,7,A few nights a month,A few nights a month,Every night or almost every night,Rarely,A few nights a month,A few nights a week,A few nights a month,Rarely,Every night or almost every night,A few nights a week,A few nights a week,No,No,Yes,No,Less than 5 minutes,With your significant other,With your significant other,6,No,None, ,Rarely,Rarely,A few nights a month,Rarely, Never, Never, ,Yes,As loud as talking,1 to 2 nights a week,Yes,Never,No impact,No,No,No,Yes,No,Yes,Yes,No,No,No,No,None,No problems,Every night or almost every night,No,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Wake up on own,6,You needed to take care of others,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Completely agree,Mostly agree,Mostly agree,Morning person,03,14,Never,No, ,Yes,Less often or never?,68,160,24.3944636678201,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,055,1,1,053,Suburban
11,west_1,West,P,CA,9,1,Female,Married,5:30 AM – 5:44 AM,10:00 PM – 10:14 PM,5.5,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,6.5, , , , , , , , , , , , , , , ,Less than 5 minutes,Alone,Alone,Self-treat it,Yes,1 time, , Never,Every night or almost every night,Every night or almost every night,Every night or almost every night, Never, Never, ,Yes,Slightly louder than breathing,Don't Know,Yes,Never, ,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,None,Moderate problems,Rarely,Yes,The need to go to the bathroom,Very difficult, Never, Never, Never,Every night or almost every night, Never,Every night or almost every night,Every night or almost every night,Wake up on own,7,You are never late or tardy?,None,1 to 2 days,1 to 2 days,Yes,Do not watch TV/these programs before bed,Very concerned,Mostly agree,Completely agree,Don't Know,Completely agree,Morning person,00,00,1 to 2 times a week,No, ,Yes,Don't Know,64,120,20.654296875,Not at all,No,No,No,No,No,No,No,No,Working part-time,Rotating shifts,030,6,1,053,Urban
12,mid_2,Mid West,E,OH,3,1,Female,Single,8:30 AM – 8:44 AM,11:30 PM – 11:44 PM,8,8:30 AM – 8:44 AM,11:30 PM – 11:44 PM,8,Rarely, Never,Every night or almost every night,Rarely, Never, Never, Never, Never,Rarely,Rarely,Rarely,No,No,Yes,Yes,30 up to 45 minutes,With your pet,With your pet,Talk to your doctor,Yes,4 or 5 times,1 hour or more?,Every night or almost every night,A few nights a month,Every night or almost every night,Every night or almost every night,Every night or almost every night,Every night or almost every night,Worse at night,Yes,Very loud and can be heard in adjacent rooms?,Every night or almost every night,Yes,Every night or almost every night,Severe impact, , , , , , , , , , , , , ,Rarely,Yes,Nightmares,Very difficult, Never,Every night or almost every night,A few nights a month,Rarely, Never,Every night or almost every night,Every night or almost every night,Pet,8,You have a sleep problem,3 to 5 days,3 to 5 days,6 to 10 days,Yes,Causes you to have disturbed or restless sleep,Very concerned,Completely disagree,Completely agree,Completely disagree,Completely agree,Evening person,02,02,3 or more times a week,Yes,3 or more times a week,Yes,1 to 2 days a week,65,142,23.694674556213,Every day,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Disabled, , , ,1,059,Urban
13,mid_1,Mid West,C,WI,3,1,Male,Married,5:00 AM – 5:14 AM,10:00 PM – 10:14 PM,7,7:00 AM – 7:14 AM,10:00 PM – 10:14 PM,9,A few nights a month, Never,A few nights a week, Never,Rarely,A few nights a week,A few nights a week,Rarely,A few nights a week,Rarely,Rarely,Yes,No,Yes,Yes,5 up to 10 minutes,With your significant other,With your significant other,Talk to your doctor,No,None, ,Rarely,Rarely,Rarely,A few nights a month, Never, Never, ,Yes,As loud as talking,3 to 4 nights a week,Yes,Never,No impact,No,No,No,Yes,No,Yes,Yes,No,No,No,No,None,No problems,A few nights a week,No,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a month?,Alarm clock,8,You needed to take care of others,None,None,None,No,Makes it difficult for you to fall asleep, Somewhat concerned,Completely agree,Completely agree,Completely disagree,Completely agree,Morning person,01,03,Less than once a month,No, ,No, ,70,190,27.3367346938776,Not at all,No,No,No,Yes,No,No,No,No,Working full-time,Regular day shifts,039,3,1,035,Rural
14,west_2,West,M,NM,8,1,Female,Married,5:00 AM – 5:14 AM,2:00 AM – 5:00 AM,14,12:00 PM (Noon) – 5:59 PM,2:00 AM – 5:00 AM,10.75, , , , , , , , , , , , , , , ,1 hour or more?,With your significant other,With your significant other,Use an over-the-counter sleep aid,Yes,None, ,Every night or almost every night, Never, Never,Every night or almost every night, Never, Never, ,No, , , ,Never, ,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Don't Know,No,None,Little problems,A few nights a month,Yes,Nothing awakens me at night,Don't Know,Every night or almost every night,Every night or almost every night, Never, Never, Never,1 to 2 nights a month?,Every night or almost every night,Alarm clock,14,You were too sleepy when you woke up,3 to 5 days,1 to 2 days,More than 10 days?,Yes,Or does it have no impact on your sleep?, Somewhat concerned,Completely disagree,Completely agree,Completely disagree,Completely agree,Evening person,20,Less than one,3 or more times a week,No, ,No, ,65,145,24.1952662721893,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,036,3,4,033,Don't Know
15,mid_1,Mid West,E,OH,3,1,Female,Married,6:00 AM – 6:14 AM,11:30 PM – 11:44 PM,6,7:30 AM – 7:44 AM,11:30 PM – 11:44 PM,7.5,A few nights a month,A few nights a week,Every night or almost every night,Rarely,A few nights a week,A few nights a month,A few nights a week,A few nights a week,Every night or almost every night,A few nights a month,A few nights a week,Yes,No,Yes,No,5 up to 10 minutes,With your significant other,With your significant other,Assume it will go away in time,No,None, ,Rarely,Rarely,A few nights a month,Rarely, Never, Never, ,Yes,Slightly louder than breathing,3 to 4 nights a week,Yes,Don't Know,No impact,No,No,No,No,No,No,No,Yes,No,No,No,None,No problems,Every night or almost every night,No,Someone else,Not very difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Alarm clock,8,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Completely agree,Mostly agree,Mostly disagree,Mostly agree,Morning person,03,02,Less than once a month,No, ,No, ,61,140,26.5251276538565,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,050,1,1,037,Urban
